Pond Name,Storm Date,Pond Index,Highest Bounce,Max Bounce Norm,Max Bounce,Decline Rate,Highest Decline Rate,Decline Rate Norm,Highest Inflow Rate,Inflow Rate Norm,Inflow Rate,Temp Variance Max,Temp Range Max,Temp Variance Norm,Temp Range Norm,Temp Variance,Temp Range,Attenuation,Urban Baseflow,Median.Water.Level,Constant.Water.Level,Contant.Water.Level.6in,Outlet.Water.Level,Below.Outlet.Water.Level,Water.Level.25.75.Quantile,Water.Level.10.90.Quantile,Pond.Skewness,L to W ratio,Pond Chain,Pipe,Rectangular Weir,Vnotch Weir,Other Weir,Other,Number of Outlets,Year Built,Pond Age,Total # Veg Species,# Native Species,# Non-native species,% Native Species,% Non-native species,LF Outlet Restrict,HF Outlet Restrict,LF Outlet Restrict Norm,HF Outlet Restrict,Watershed Area ft2,Pond Area ft2,WA/PA,Avg Pond Depth,Max Pond Depth,Res Time,Average Watershed Slope,Impervious Percent Recalc,Commercial Percent,Residential Percent,Greenspace Percent,Canopy Percent,Curve Number,Average Development Age,Total Richness,Plant Richness,Animal Richness,Invert Richness,Vert Richness,Fish Richness,Herp Richness,Amphib Richness,Chloride Change (%),YSI DO Change (%),Secchi Disk Change (%),SPC Change (%),Sulfate Change (%),Temperature Change (%),TN Change (%),TP Change (%),TSS Change (%),Nitrate Change (%),Ammonia Change (%),Secchi Disk Depth (cm),YSI DO (%),YSI DO (mg/L),Temperature (Degrees Celsius),SPC,TSS (mg/L),Chloride (mg/L),Sulfate (mg/L),TN (ug/L),TP (ug/L),Ammonia (ug/L),Nitrate (ug/L),avg_bd (g/cm3),avg_sed_cm,per_om,area est(g om/cm2),Percent.Days.Outflow,Peak Outflow,Chloride Difference,YSI DO Difference,Sulfate Difference,TN Difference,TP Difference,TSS  Difference,Ammonia Difference,Nitrate Difference,SPC Difference,Runoff Depth in,Max Runoff Depth,Runoff Depth Norm,Odor,Odor.Late,Trash Count,Trash.Late,Clar.Late,Odor.Diff,Trash.Diff,Clar.Diff,m_algae,m_sav,m_fl,m_emerg,Comm Percent 100m Buffer,Comm Percent 200m Buffer,Comm Percent 300m Buffer,Res Percent 100m Buffer,Res Percent 200m Buffer,Res Percent 300m Buffer,GS Percent 100m Buffer,GS Percent 200m Buffer,GS Percent 300m Buffer,Mow Distance
MarionDunn,28-Jul,12,5.722228097,1,5.722228097,-0.030936874,-0.068031619,0.454742581,279.5507987,1,279.5507987,12.23495628,14.29055556,0.485488676,0.701512265,5.939932729,10.025,49.6417968,78.52760736,0.596055471,24.81787796,58.13335619,55.57293452,48.03093932,0.527212141,1.390289043,2.15143406,1.221374046,0,1,0,0,0,0,2,1983,41,19,11,8,0.578947368,0.421052632,20.95385,70.30857,1.04E-06,3.48E-06,20203844.92,59167,341.4715115,108.7777778,210,0.01045131,0.8893062,18.94910069,0.308778602,0.598991254,0.092230144,58.63007216,80.76484696,1945.845898,27,7,20,14,6,0,6,4,-10.29722351,169.3121693,-10,NA,-10.69651741,8.503401361,0.956978701,11.24655422,-79.41527446,-99.14372565,-77.86313367,18,74.3,5.67,29.4,NA,167.6,13.5891,1.6884,666.786,174.489,107.784,116.785,0.384848439,37.33333333,0.084246723,1.21042954,35.58282209,239.2903,-1.3993,9.6,-0.1806,6.381,19.624,-133.1,-83.924,-114.948,NA,0.25183232,0.818487492,0.307680108,-2,-2,5,5,16.2,0,0,-1.8,2.1,0,0.4,0,0.100534951,0.172814643,0.168351477,0.006045028,0.170239122,0.229996444,0.893420021,0.656946235,0.601652079,47.07142857
Manitou,28-Jul,13,4.487895723,1,4.487895723,-0.146360736,-0.339591744,0.430990266,256.8896754,1,256.8896754,10.573727,15.05166667,0.297148723,0.646956779,3.14196948,9.73777778,41.3695803,92.82051282,NA,11.63919218,59.71776208,53.22736031,0.308641975,0.27827824,0.513956629,NA,0.75,1,0,0,1,0,0,1,2009,15,92,67,25,0.72826087,0.27173913,4.535772,47.1153,1.17E-07,1.21E-06,38827791.01,64464,602.3174331,67.11111111,120,0.003655561,0.7599124,17.90232656,0.303898915,0.571125127,0.124975959,55.13583243,80.1644974,1951.169672,29,14,15,5,10,5,5,3,-5.557992245,53.45982143,-16,NA,58.59609477,20.2166065,17.0744859,-6.094777753,156.3636364,-98.72320323,-28.82852456,25,114.2,8.96,27.7,NA,22,91.1984,2.8321,1218.432,193.231,20.726,78.321,0.631047279,29.44444444,0.07080484,1.31561316,15.38461538,217.1877,-5.0688,4.79,1.6595,208.041,-11.777,34.4,-5.975,-77.841,NA,0.082631517,0.427829718,0.193141135,0,-3,5,10,21,-3,5,-4,0,14.2,0.3,0,0.120450308,0.134079353,0.12724879,0.043844368,0.181423072,0.238169824,0.835705324,0.684497576,0.634581386,68
MadCity,28-Jul,14,3.611384246,1,3.611384246,-0.034611408,-0.046571126,0.743194571,341.8594808,1,341.8594808,7.253968872,11.57277778,0.314003701,0.545581105,2.277773074,6.31388889,33.6028926,100,1.842736426,31.9422426,61.70572861,0,0,0.540254981,0.969355696,0.855442336,0.639269406,0,1,0,0,0,0,2,2009,15,52,35,17,0.673076923,0.326923077,19.16253,53.96582,1.62E-06,4.57E-06,11818534.65,29134,405.6612427,128.2222222,128.2222222,0.010370145,1.0103613,38.10530278,0.580161911,0.315311566,0.104526523,29.04782906,84.58433045,1968.5,26,11,15,11,4,0,4,2,39.52988343,180.982906,35,NA,34.43853918,2.666666667,-81.09649863,-81.26106707,-56.12244898,-99.36124685,-70.90841031,20,61.8,4.68,30,NA,24.5,24.0451,4.1018,3064.427,470.427,98.843,156.555,0.502038978,4.444444444,0.077133457,0.172106675,100,155.6037,9.505,8.47,1.4126,-2485.143,-382.274,-13.75,-70.088,-155.234,NA,0.168988416,1.448291207,0.116681241,-1,-1,40,40,27,0,0,7,0,0,68.2,0,0.046291709,0.13426762,0.1706796,0,0,0,0.953708291,0.86573238,0.8293204,158.7
Baxter,28-Jul,15,2.79208223,1,2.79208223,-0.068813222,-0.075209587,0.914952797,193.4754923,1,193.4754923,25.31616694,23.54166667,0.632941304,0.700318584,16.02364771,16.48666667,39.0595702,7.975460123,0.59307888,22.66460839,43.27522995,42.75637315,87.146502,0.565819995,0.773979566,0.29814068,0.6,0,0,1,0,0,0,1,1997,27,22,18,4,0.818181818,0.181818182,11.99606,13.32511,2.97E-06,3.29E-06,4045886.741,16998,238.0213402,34.88888889,48,0.004809017,0.9215568,22.34570671,0.159005435,0.745899671,0.095094894,48.8935705,77.25403251,1989.59434,38,12,26,21,5,0,5,3,239.6427894,161.7021277,32.14285714,NA,28.24203561,9.491525424,73.19797668,32.18262206,32.78688525,-82.41912799,190.8916667,28,30.8,2.35,29.5,NA,61,3.6897,1.4659,711.7,222.558,24,5.688,0.426974647,19,0.089489537,0.725985505,5.521472393,15.25997,8.8421,3.8,0.414,520.95,71.625,20,45.814,-5.113,NA,0.047205763,0.262424214,0.179883411,-2,-4,20,20,37,-2,0,9,3.8,0,43,28,0,0.084859077,0.089055788,0.042339673,0.124908154,0.244428496,0.957660327,0.790232769,0.666515716,35.44444444
DobA22,28-Jul,16,5.234761336,1,5.234761336,-0.423392256,-0.554765184,0.76319183,266.4136085,1,266.4136085,28.88967654,28.1722222,0.359261463,0.624649972,10.37894746,17.5977778,1.74000864,11.04294479,0.149057399,65.73174654,74.35831457,2.236517637,96.81569637,0.287334798,1.019653056,3.20588792,6.913043478,0,1,0,0,0,0,6,2001,23,9,4,5,0.444444444,0.555555556,30.40396,50.5709,4.35E-06,7.23E-06,6991316.324,13893,503.2258205,39.33333333,63,0.002564383,0.9173768,16.93287,0.316610789,0.532865235,0.150523976,37.51704578,79.33070223,2002.705882,22,8,14,10,4,1,3,3,47.91903858,154.5302013,63.63636364,NA,10.35271269,8.540925267,-8.354960928,-21.65673,-46.66666667,-99.54052142,-70.51585942,33,76.3,5.96,28.1,NA,12.75,2.3715,1.5962,772.547,147.266,72.985,217.638,0.55649784,5.666666667,0.103339387,0.325879492,4.90797546,156.4641,1.1364,9.21,0.16525,-64.546,-31.893,-5.95,-51.466,-216.53,NA,0.531372253,0.531372253,1,0,-3,30,30,54,-3,0,21,19,16,0,48,0.370591932,0.282562456,0.264604953,0.286710102,0.509298697,0.55376989,0.373789551,0.208138847,0.181625156,19
DobA4,28-Jul,18,2.177716881,0.913659728,1.989692213,-0.037333699,-0.041723914,0.894779406,49.90983937,1,49.90983937,9.11065926,14.405,0.20143987,0.409849975,1.835250021,5.90388889,15.3883108,46.62576687,1.353802093,16.7270933,36.79445648,32.89640229,40.71610924,0.720054682,1.428617645,-0.54441356,5.833333333,0,1,0,0,0,0,4,2006,18,71,51,20,0.718309859,0.281690141,14.99472,7.538062,1.56E-05,7.86E-06,958810.7254,48773,19.65863747,82.11111111,155,0.137035646,0.5388314,4.266876059,0.093867693,0.373638072,0.532494236,50.08645118,71.83401457,2001.894737,32,14,18,12,6,3,3,2,-13.44727401,-8.103727715,-17.14285714,NA,-5.201460705,4.113924051,-39.20342024,-17.48795603,10.86956522,0,-38.32149201,28,167.7,12.34,31.6,NA,18.4,12.16715,1.62935,925.08,89.879,13.512,1.581,0.620810739,13.77777778,0.046669769,0.399184848,36.80981595,47.68692,-1.63615,-1,-0.08475,-362.663,-15.718,2,-5.178,-0.432,NA,1.055363469,3.77400165,0.279640436,0,0,2,10,23.2,0,8,-4.8,1.6,1.6,0,0.1,0.43748106,0.532585328,0.516014749,0.142660684,0.222645573,0.30320944,0.419858256,0.244769099,0.180775811,53.54545455
DoorCreek,28-Jul,19,1.031823337,1,1.031823337,-0.012605109,-0.020894486,0.603274424,23.11855748,1,23.11855748,6.306255984,10.71111111,0.221057396,0.492531121,1.394044526,5.27555556,45.8039848,59.50920245,1.354198314,39.3466884,85.72194578,45.92699039,1.917467399,0.197394327,0.352502989,0.797078466,4.087837838,1,1,0,0,0,0,1,2005,19,56,36,20,0.642857143,0.357142857,24.42819,3.184825,3.24E-07,4.23E-08,75300012.92,114855,655.609359,139.3333333,264,0.006972603,0.7466366,11.28698876,0.469418588,0.168687728,0.361893685,16.6166614,83.89354275,2004.709507,45,14,31,21,10,5,5,3,-15.40383519,-15.20979021,-73.22033898,NA,-25.79251185,11,179.5767492,131.3743047,628,-88.43128181,-20.43693524,59,151.4,11.44,30,NA,6.25,32.9788,6.2018,724.346,94.928,45.041,8.644,0.474972853,9.111111111,0.058418714,0.252808763,8.588957055,24.312,-5.08,-1.74,-1.5996,1300.757,124.711,39.25,-9.205,-7.697,NA,0.010730631,0.01077987,0.995432363,0,-4,0,5,15.8,-4,5,-43.2,12.4,78.6,45.4,0,0,0,0,0,0,0.021840472,1,1,0.978159528,27.27272727
CommAve,28-Jul,20,3.230999304,1,3.230999304,-0.048037363,-0.078541027,0.611621274,148.8898923,1,148.8898923,9.489010438,14.035,0.340786141,0.618295531,3.23372325,8.67777778,76.7049103,50.30674847,1.181121542,15.08786234,40.83077649,41.05391894,52.46207651,0.65079089,1.151890508,0.489114422,1.712418301,0,1,0,0,0,0,1,1991,33,49,26,23,0.530612245,0.469387755,3.495972,4.154118,2.89E-07,3.44E-07,12084635.31,45805,263.827864,73,172,0.009077938,0.78129,21.54210326,0.356779186,0.617752127,0.025468688,24.26129461,82.76000814,1998.5,27,11,16,12,4,1,3,2,32.78252768,17.14770798,-32.35294118,NA,-3.294454676,0,69.05485393,122.7221166,37.82051282,169.75,-47.11242738,34,156.2,11.78,30.3,NA,15.6,3.6492,1.4661,549.915,65.236,21.9475,1.8605,0.645547787,17.33333333,0.047224878,0.528422535,34.96932515,20.26879,1.1963,2.02,-0.0483,379.743,80.059,5.9,-10.34,0.837,NA,0.075345678,0.10127534,0.743968647,-1,-1,20,40,23,0,20,-11,0,0,0.2,33,0.294318507,0.442635929,0.507705926,0.35481054,0.452714529,0.443067027,0.350870953,0.104649542,0.049227047,63.18181818
Hospital,14-Aug,1,3.500252645,0.415224586,1.453390954,-0.025038965,-0.030467981,0.821812413,163.6066199,0.026836646,4.390652927,4.122886044,8.96777778,0.358542239,0.575393384,1.478228792,5.16,22.3376988,35.97560976,1.200469207,49.59807758,63.70151412,45.48528411,83.51267438,0.326466822,0.445722572,1.822630306,0.731292517,0,1,0,0,0,0,4,1995,29,40,21,17,0.525,0.425,51.66953,91.57904,8.82E-06,1.56E-05,5858322.369,41430,141.4029054,103.2222222,235,0.023949691,0.992111,51.88251092,0.941473678,0.013748371,0.044777952,8.823230269,89.81070606,1951.75,29,13,16,10,6,4,2,1,254.2188865,-39.29824561,0,NA,228.9254727,,-37.53411641,-37.18473632,-9.523809524,-75.06463297,-48.17381594,60,61.9,5.7,,NA,5.25,15.3358,2.2475,585.129,48.848,91.338,158.201,0.99168984,19.88888889,0.033704429,0.664772981,7.317073171,250.7786,38.9865,-2.24,5.1451,-219.623,-18.164,-0.5,-44.001,-118.753,NA,0.469450771,0.89773793,0.522926296,0,1,0,5,60,2,5,0,23.8,40.6,19.6,0,0.717551905,0.784852271,0.809553551,0,0,0,0.282448095,0.215147729,0.190446449,5
Lot60,14-Aug,2,1.448695338,0.603118342,0.873734731,-0.029170339,-0.030962218,0.942126917,25.03259609,0.130285464,3.261383403,1.39E+01,1.70E+01,0.236547746,0.484879098,3.298489545,8.26611111,39.2419847,92.07317073,1.176969177,26.27068181,52.56263026,14.95470205,5.323040279,0.51772291,1.058249376,-0.7221453,4.810810811,0,1,0,0,0,0,2,2014,10,76,58,18,0.763157895,0.236842105,13.200972,16.2225,9.41E-06,1.16E-05,1402934.574,54475,25.75373242,87.22222222,120,0.111114825,0.227592,20.31799907,0.706496428,0,0.293503572,13.62154223,86.94661041,1981.5,50,20,30,24,6,0,6,5,181.6270651,-72.5,215.7894737,NA,-34.04910796,16.75675676,80.21779295,147.9385117,599.8219585,-93.33934747,-50.83190537,46,17.1,1.6,18.5,NA,42.125,52.9567,4.3496,638.68,116.445,72.364,33.255,0.440975654,17.88888889,0.103013589,0.812629339,82.31707317,30.8954,96.1837,-1.16,-1.481,512.335,172.267,252.675,-36.784,-31.04,NA,2.972951602,2.972951602,1,-1,0,0,0,19,0,0,-27,10,100,82.2,0,0.209558565,0.398293209,0.384797369,0,0,0,0.790441435,0.601706791,0.615202631,58.75
Garner,14-Aug,3,3.278332665,0.718420112,2.35522012,-0.014741243,-0.094700794,0.15566124,143.3236655,-3.34E-05,-0.004793943,6.24E+00,9.36E+00,1,1,6.235505552,9.36388889,81.5144557,26.70807453,1.424191303,31.44839549,60.32523851,48.31526453,18.66001735,0.312829948,0.793722918,2.402635665,2.206896552,0,0,0,1,0,0,1,1992,32,46,30,16,0.652173913,0.347826087,0.540201,5.053392,1.15E-07,1.08E-06,4699329.554,32388,145.0947744,75.88888889,159,0.01715977,0.8946324,23.07196428,0.662872109,0.025269228,0.311858663,36.73445842,83.92682637,1974.272727,24,5,19,15,4,2,2,2,69.16208099,-90.33018868,-40.47619048,NA,-33.84091364,19.59798995,74.77863428,56.36129493,679.2941176,-96.44580093,95.13171551,25.2,46.7,4.24,19.9,NA,10.625,9.9222,2.9946,729.449,162.294,40.466,71.099,0.530989071,32.11111111,0.073794573,1.258245368,3.726708075,30.02581,6.8624,-3.83,-1.0134,545.472,91.471,72.175,38.496,-68.572,NA,0.211556024,0.333521446,0.634310106,-1,0,20,5,15,1,-15,-10.2,47.6,28.2,0,0,0.235814359,0.241602088,0.230451406,0.00950452,0.248799505,0.368767555,0.754681121,0.509598407,0.400781039,229.25
DobA7,14-Aug,4,2.847135627,0.960177819,2.733756478,-0.021711257,-0.045084269,0.481570567,249.4473042,0.040058852,9.992572536,9.17E+00,1.16E+01,1,1,9.171685176,11.63888889,5.9732307,100,1.072280931,42.56384685,68.90257122,70.50687248,31.50067207,0.230522677,0.66472948,2.38350052,1.758893281,1,0,0,0,1,0,1,1969,55,37,19,18,0.513513514,0.486486486,49.11947,83.91266,1.05E-06,1.79E-06,46778291.31,186680,250.5800906,63.33333333,171,0.00829222,0.624287,46.94313485,0.842322289,0.103857724,0.053819987,10.33797557,89.25991815,1984.87234,23,8,15,11,4,2,2,2,223.8517244,63.73134328,38.0952381,NA,30.97360678,25.38071066,-38.26082315,7.109215981,-47.94520548,-97.98906538,-93.12988868,21,73.3,6.7,19.7,NA,18.25,8.0229,2.2771,561.99,67.307,194.582,154.555,0.945319775,18.66666667,0.033696857,0.594613699,100,250.5936,17.9594,4.27,0.7053,-215.022,4.785,-8.75,-181.214,-151.447,NA,0.565102453,0.565102453,1,0,-1,5,10,29,-1,5,8,0,0.4,0,0,0.007423579,0.339219211,0.593748408,0,0,0,0.992576421,0.660780789,0.406251592,3
Owen,14-Aug,5,3.81124552,0.772397411,2.943796174,-0.152809776,-0.156030739,0.979356869,156.0627997,0.0974248,15.20438699,6.319221183,13.67222222,0.603654322,0.568386835,3.814625176,7.77111111,9.57526837,34.96932515,1.613186337,8.631353665,22.14660246,12.63777421,75.01123596,1.770612601,2.677166695,0.236462522,1.541666667,1,0,0,0,0,1,1,2007,17,51,39,12,0.764705882,0.235294118,22.23179,24.20726,2.38E-06,2.59E-06,9355776.201,25596,365.5171199,79.11111111,251,0.007100923,1.2463776,15.9658438,0.238042049,0.570716691,0.19124126,66.66742354,77.51786587,1971.191304,29,14,15,6,9,2,7,5,48.55160317,-53.66795367,24.3902439,NA,-44.91154712,,7.456943399,2.167377399,-29.74683543,-95.18141955,-79.28462919,41,57.4,5.18,,NA,13.51351351,3.8767,1.5545,1059.013,187.6,7.241,20.753,0.462516451,21.44444444,0.104298127,1.034471413,23.31288344,174.1895,1.8822,-2.78,-0.69815,78.97,4.066,-4.019842624,-4.743,-19.955,NA,0.523642403,1.261947967,0.414947697,1,-1,0,0,51,-2,0,10,0,0,63,0.1,0.122175928,0.153567583,0.128710908,0.09974243,0.357315737,0.38258963,0.778081642,0.48911668,0.488699463,101.5
HPChurch,14-Aug,6,5.555487175,0.778692406,4.326015675,-0.03116759,-0.040040554,0.778400569,137.6269647,0.202921153,27.92742234,7.799965071,11.455,1,1,7.799965071,11.455,0.46686393,100,1.324469073,26.42565973,54.05277837,48.94228706,78.19137524,0.483742043,1.146369409,2.506228898,1.684931507,1,0,1,0,0,0,1,2000,24,67,43,24,0.641791045,0.358208955,156.0725,183.3525,2.68E-06,3.15E-06,58228826.73,159671,364.6800404,59.55555556,104,0.005357909,0.7919103,32.21382276,0.334250136,0.520321166,0.145428698,45.11306301,79.90694143,1982.726212,38,16,22,14,8,3,5,3,0.323134067,-96.69312169,11.11111111,NA,2.976923709,24.5,-34.32848545,-29.6944154,-37.5,-98.69467034,-82.48422468,54,83.2,7.56,20,NA,4,18.0111,2.4354,434.004,94.671,38.668,76.609,0.55546013,19.66666667,0.059759826,0.652819281,19.63190184,1851.045,0.0582,-7.31,0.0725,-148.9865,-28.1115,-1.5,-31.895,-76.567,NA,1.642181666,1.934030952,0.849097924,2,2,0,0,60,0,0,6,4.2,78,22.2,2.8,0,0.17209401,0.283071155,0.135171412,0.410960944,0.450103817,0.864828588,0.416945046,0.266825028,50.86363636
DobA8,14-Aug,7,3.401545816,0.80452787,2.73663841,-0.035061926,-0.041338368,0.848169091,210.3915428,0.061832038,13.00893792,3.832739276,7.61,1,1,3.832739276,7.61,19.96945099,12.12121212,1.73162149,21.35727277,44.23508015,0.107854333,99.88580129,0.598269088,1.023529815,0.032566532,1.423529412,1,0,1,0,0,0,1,1998,26,45,26,19,0.577777778,0.422222222,55.55979,48.31733,4.51E-06,3.92E-06,12329890.28,50304,245.1075517,106.1111111,191,0.014203298,1.0960939,11.73447728,0.193259913,0.472137069,0.334603017,0.342623873,77.99923201,2001.746479,23,8,15,11,4,2,2,2,-10.72402101,-43.25259516,-36.66666667,NA,-47.63443818,18.78172589,30.32351069,1.276524082,-74.29435484,-98.87995341,-60.28773509,60,63.2,5.78,19.7,NA,49.6,3.0082,1.4542,534.140,89.070,12.442,89.282,0.632610775,28,0.04107763,0.727612238,1.212121212,110.823,-0.3226,-2.5,-0.6927,161.97,1.1375,-36.85,-7.501,-88.828,NA,0.09547834,0.112764042,0.846709102,0,-1,10,10,38,-1,0,-22,29.7,6.8,0,0,0.085283283,0.153896482,0.133889156,0.292251963,0.304997676,0.331509167,0.622464754,0.541105842,0.534601677,10
Midtown,14-Aug,8,1.841799064,0.951360443,1.752214773,-0.071041536,-0.074834554,0.949314617,5.338827634,1,5.338827634,5.698305065,9.78,1,1,5.698305065,9.78,1.6905433,37.33333333,1.666093524,16.13281433,30.21619847,32.84247057,78.16911316,1.207013533,1.587488846,-0.04471065,3.566433566,1,0,1,0,0,0,1,2002,22,59,47,12,0.796610169,0.203389831,77.88487,46.94285,1.21E-05,7.27E-06,6457203.642,48765,132.4147163,80.66666667,129,0.019986783,0.9466334,32.79349173,0.323294417,0.451831087,0.224874496,11.805817,78.2639153,2003.967105,29,12,17,11,6,3,3,3,6.632968627,18.98569571,-1.754385965,NA,-16.64636101,18.75,-3.570212692,-19.00476521,1452.884615,-89.68965873,-26.45943426,57,88.7,7.69,22.4,NA,5.2,4.6887,1.5595,402.413,67.783,16.085,9.699,0.492481948,22.77777778,0.05801232,0.650761575,20,114.3176,0.311,1.46,-0.2596,-14.367,-12.882,75.55,-4.256,-9.304,NA,1.389412405,1.389412405,1,-2,-1,3,5,56,1,2,-1,55,98,0.2,0,0.041929917,0.090713824,0.102707657,0.148658198,0.22224717,0.220394233,0.809411885,0.687039006,0.676898111,71.17647059
Elver,14-Aug,9,3.620019108,0.782974283,2.834381865,-0.031061347,-0.044520941,0.697679481,100.0270129,0.161910413,16.19541501,6.110211532,11.38277778,1,1,6.110211532,11.38277778,0.256013432,43.03030303,1.622837082,29.28314654,56.27828294,59.32332417,61.49080144,0.482540753,1.068733715,0.016939567,2.213414634,1,0,1,0,0,0,1,1968,56,60,41,19,0.683333333,0.316666667,102.5599,74.99122,8.10E-06,5.92E-06,12664505.49,93049,136.1057667,100.1111111,237,0.02413186,1.2160701,19.82099894,0.129629228,0.253059169,0.617311583,0.347671366,70.51125449,1987.255583,30,12,19,14,5,3,2,1,15.25900684,-6.980802792,-51.45631068,NA,23.52962572,18.84057971,9.770692517,14.16913301,282.4390244,-99.23026594,-79.9411848,51.5,63.9,5.73,20.7,NA,10.25,38.9121,2.7493,522.399,91.904,120.037,129.915,0.629364504,23.44444444,0.052428647,0.77358999,35.75757576,658.4761,5.9376,-0.4,0.6469,51.042,13.022,28.95,-95.959,-129.253,NA,2.715259286,2.715259286,1,-2,0,10,5,25,2,-5,-26.5,24,35,17.2,0,0,0.068233845,0.100900276,0,0,0.056402711,1,0.931766155,0.842697013,3
TwoFountains,14-Aug,10,1.62389704,0.474456469,0.770468455,-0.022166755,-0.028023592,0.791003345,70.12561029,0.001207428,0.084671625,2.683585783,7.22333333,1,1,2.683585783,7.22333333,47.66891661,48.48484848,1.455993034,19.94756206,45.43071003,33.67023301,38.13591576,0.70870095,1.066969898,-0.288019491,0.778145695,1,1,0,0,0,0,1,1988,36,29,11,18,0.379310345,0.620689655,13.11719,10.23678,1.09E-05,8.50E-06,1203934.68,51799,23.24243093,100,200,0.141157347,0.7010321,54.36319086,0.114449641,0.801048372,0.084502023,0.433688906,70.60835713,1982.775,26,9,18,11,7,3,4,2,-1.154052469,-13.06584362,10.09174312,NA,-21.52725446,2.325581395,38.00593006,32.86294564,2650,-57.15509854,3.384326126,54.5,119.2,9.72,25.8,NA,0.75,59.8413,1.5924,601.343,61.793,11.701,2.334,0.629364504,23.44444444,0.052428647,0.77358999,20.60606061,14.50258,-0.6906,-1.27,-0.3428,228.546,20.307,19.875,0.396,-1.467,NA,1.027099819,1.027099819,1,0,0,40,20,60,0,-20,5.5,,12.5,2,1,0,0.042693188,0.129448023,0.832420385,0.839518762,0.704364322,0.167579615,0.11778805,0.166187655,0
Greentree,14-Aug,11,4.475781178,0.600925516,2.689611112,-0.023477708,-0.033576509,0.699230167,166.9106513,0.07406626,12.36244772,7.503719506,11.18666667,1,1,7.503719506,11.18666667,3.432409365,80.60606061,1.340920376,40.68459554,78.3056366,72.61617827,28.19146687,0.238745623,0.571923596,2.349449243,1.09,1,0,1,0,0,0,1,1972,52,66,35,31,0.53030303,0.46969697,40.51826,129.6276,9.07E-07,2.90E-06,44652977.5,79133,564.277577,316,600,0.018372968,0.8058982,33.70960849,0.446084515,0.458416149,0.09549954,0.185337626,82.23309923,1980.969331,34,10,24,14,10,5,5,3,34.1425266,-6.21761658,-26.82926829,NA,46.77037656,7.949790795,-5.766085276,-32.12745759,-6.548672566,-98.32889961,-50.51835036,41,68.6,5.79,23.9,NA,56.5,46.4166,2.8734,632.162,137.991,132.150,177.428,0.629364504,23.44444444,0.052428647,0.77358999,33.33333333,871.6554,15.8478,-0.36,1.3439,-36.451,-44.333,-3.7,-66.76,-174.463,NA,0.507888074,0.507888074,1,-1,-1,20,5,30,0,-15,-11,,13.5,5,3,0,0.05399879,0.094238516,0.085837626,0.397266237,0.484858926,0.914162374,0.548734973,0.420902558,14
MarionDunn,14-Aug,12,5.722228097,0.739648651,4.232438293,-0.024955047,-0.068031619,0.366815422,279.5507987,0.074762787,20.89999673,12.23495628,14.29055556,1,1,12.23495628,14.29055556,25.3392803,78.52760736,0.596055471,24.81787796,58.13335619,55.57293452,48.03093932,0.527212141,1.390289043,2.15143406,1.221374046,0,1,0,0,0,0,2,1983,41,19,11,8,0.578947368,0.421052632,20.95385,70.30857,1.04E-06,3.48E-06,20203844.92,59167,341.4715115,108.7777778,210,0.01045131,0.8893062,18.94910069,0.308778602,0.598991254,0.092230144,58.63007216,80.76484696,1945.845898,27,7,20,14,6,0,6,4,2.592297063,19.94017946,19.06976744,NA,-53.98497866,22.08333333,-13.10273027,-29.13782008,54.41176471,-85.244609,-0.174570847,43,119,10.03,24,NA,13.6,5.1383,1.8507,705.975,153.831,13.748,29.169,0.384848439,37.33333333,0.084246723,1.21042954,35.58282209,239.2903,0.1332,2,-0.9991,-92.502,-44.823,7.4,-0.024,-24.865,NA,0.818487492,0.818487492,1,-1,-2,5,5,51.2,-1,0,8.2,2.1,0,0.4,0,0.100534951,0.172814643,0.168351477,0.006045028,0.170239122,0.229996444,0.893420021,0.656946235,0.601652079,47.07142857
Manitou,14-Aug,13,4.487895723,0.824268703,3.699231987,-0.087467357,-0.339591744,0.257566206,256.8896754,0.062950347,16.17129431,10.573727,15.05166667,1,1,10.573727,15.05166667,35.4052446,92.82051282,NA,11.63919218,59.71776208,53.22736031,0.308641975,0.27827824,0.513956629,NA,0.75,1,0,0,1,0,0,1,2009,15,92,67,25,0.72826087,0.27173913,4.535772,47.1153,1.17E-07,1.21E-06,38827791.01,64464,602.3174331,67.11111111,120,0.003655561,0.7599124,17.90232656,0.303898915,0.571125127,0.124975959,55.13583243,80.1644974,1951.169672,29,14,15,5,10,5,5,3,9.996091982,68.89596603,-4.545454545,NA,30.32762447,20.16460905,-46.30970113,-34.94322546,13.41463416,-99.18340683,-96.52701083,22,112.7,9.42,24.3,NA,27.33333333,48.618,3.0187,1637.469,214.797,381.199,122.46,0.631047279,29.44444444,0.07080484,1.31561316,15.38461538,217.1877,4.8599,6.49,0.9155,-758.307,-75.057,3.66666667,-367.96,-121.242,NA,0.183858452,0.427829718,0.429746799,-2,-2,10,10,21,0,0,-1,0,14.2,0.3,0,0.120450308,0.134079353,0.12724879,0.043844368,0.181423072,0.238169824,0.835705324,0.684497576,0.634581386,68
